source,target,ligand.complex,receptor.complex,aggregate_rank,mean_rank,natmi.edge_specificity,natmi.rank,connectome.weight_sc,connectome.rank,logfc.logfc_comb,logfc.rank,sca.LRscore,sca.rank,cellphonedb.pvalue,cellphonedb.rank
Neu-5 IFN,T cells 2,B2m,Cd3g,3.843382999311733e-6,1479.1,0.05787713517050784,1200,5.761273000516219,53,3.106143329397412,106,0.9638593434953536,74,0,5962.5
T cells 2,B cells,Ccl5,Sdc4,5.164933048751747e-6,1397.5,0.1703546069372543,117,6.0127383980461495,34,4.038564864450471,15,0.9404054383311019,859,0,5962.5
T cells 2,T cells 2,H2-K1,Cd3g,6.7584634951757475e-6,1389.1,0.07276280245906303,788,5.94088048753135,42,3.014704129881168,128,0.9682813870266312,25,0,5962.5
T cells 2,T cells 2,H2-K1,Cd8b1,7.399504713674268e-6,1432.3,0.08493576530970091,583,5.962727080960516,41,2.3672406445628136,440,0.9598550610592664,135,0,5962.5
T cells,Neu-3,Ccl5,Ccrl2,7.81204033372984e-6,1528.7,0.09042097948919399,512,2.8033358240030015,557,3.95806503320182,21,0.9460988745087837,591,0,5962.5
Neu-2,T cells 2,Cd14,Itga4,7.917805925049079e-6,1584.1,0.08603058513594271,566,2.7051124346851827,593,2.6753083975661864,258,0.947389078415196,541,0,5962.5
Macs 2,Macs 2,Lpl,Lrp1,9.6980148832101235e-06,1493.9,0.10027651122812478,419,2.6149444996846807,624,3.072023687029125,115,0.9520686835881239,349,0,5962.5
T cells,B cells,Ccl5,Dpp4,1.022517129462829e-5,2028.7,0.15774200763171667,147,6.7605527321055305,17,2.9637919298583455,144,0.8991401260234082,3873,0,5962.5
Macs 2,Macs 1,Lpl,Lrp1,1.0859953999501406e-5,1513.3,0.09704744302792079,454,2.571281476632002,642,3.0051594662008956,132,0.9513163003694673,376,0,5962.5
Neu-5 IFN,T cells 2,H2-K1,Cd3g,1.1981282182490881e-5,1493.1,0.05773397550853267,1213,5.661059314358429,71,2.9332535848100987,155,0.9645295168836859,64,0,5962.5
T cells 2,Neu-3,Ccl5,Ccr1,1.317457563382448e-5,1413.1,0.0680389231460782,876,5.756818271036277,55,4.15915444312604,12,0.9587191910056421,160,0,5962.5
T cells 2,T cells 2,H2-K1,Cd8a,1.6027976102531452e-5,1533.9,0.08291280138402439,612,5.3543649667348046,122,2.0698842438039007,708,0.9546185444125719,265,0,5962.5
T cells 2,Dendritic,Ccl5,Ccr5,1.842620306354386e-5,1579.9,0.14540100051473306,179,6.6696973801152994,19,4.20206410842062,10,0.9259370621035163,1729,0,5962.5
Dendritic,T cells 2,Cxcl16,Cxcr6,2.158027929829407e-5,1423.1,0.2152826105440232,61,6.026870626867183,32,2.5791196228618753,297,0.9419087593522454,763,0,5962.5
Tumor,T cells 2,Lgals3,Lag3,2.1692920564868534e-5,1578.7,0.07404328929402848,764,4.618691507922737,253,2.0886680182245865,677,0.9554320746225591,237,0,5962.5
Dendritic,T cells 2,B2m,Cd3g,2.2369742246636877e-5,1498.5,0.05775689600867039,1210,5.759019979440525,54,2.838456118109964,191,0.9638231042107631,75,0,5962.5
Dendritic,Macs 2,C1qa,Cd93,2.4283968869481193e-5,1547.1,0.09523911691275289,466,3.074149154284748,456,3.3723619393687763,65,0.9416187591744017,786,0,5962.5
Neu-4 classic,Macs 2,S100a9,Cd36,2.5535152011860424e-5,1502.9,0.08412968758811958,593,2.2952156135254174,796,3.2935184222589813,71,0.962756857090971,92,0,5962.5
T cells 2,Macs 1,Ccl5,Ccr5,2.8039323837455285e-5,1609.1,0.13819194903738938,206,6.608749305759913,21,3.9807530076559665,18,0.9241744205230664,1838,0,5962.5
T cells 2,T cells 2,B2m,Cd3g,3.185988273553399e-5,1480.7,0.060242934833980806,1114,5.805602954428248,49,2.7746370632535786,215,0.9645506822929006,63,0,5962.5
Neu-4 classic,Neu-4 classic,Selplg,Sell,3.329778799234687e-5,1762.9,0.07339032944350746,775,2.2364793167462,851,2.095994643945635,670,0.9469695173909652,556,0,5962.5
Dendritic,Macs 1,C1qa,Cd93,3.4879169426421476e-5,1574.3,0.09093351927652707,506,3.0248675101282823,474,3.33080559263077,68,0.9403341143398398,861,0,5962.5
Neu-4 classic,Macs 2,S100a8,Cd36,3.5040333259731026e-5,1558.7,0.07338033980248476,776,2.227564568552417,862,3.170642298267003,94,0.9622743141374616,99,0,5962.5
T cells 2,Neu-1,Ccl5,Ccrl2,3.6349734690685385e-5,1546.1,0.07258985537443302,791,5.616876856998574,79,3.744671540167058,28,0.9402159205226629,870,0,5962.5
Dendritic,Prol.,C1qb,C1qbp,3.735549040981255e-5,1613.5,0.07529050476370373,748,3.129026373796198,442,3.6311928339745343,39,0.9400839313596179,876,0,5962.5
Neu-5 IFN,T cells 2,B2m,Klrd1,3.8037434586230225e-5,1725.1,0.07190109320349783,805,5.064331291954941,171,2.0020145789964885,807,0.9399838120280897,880,0,5962.5
Neu-4 classic,Macs 2,Mmp9,Lrp1,3.925313856962246e-5,1692.3,0.09037434874923035,513,2.203250123124256,887,2.089000364136381,676,0.9502647362632436,423,0,5962.5
Macs 1,Macs 2,C1qb,Lrp1,3.9605746062673884e-5,1653.3,0.06739506683556774,889,2.5917416518999854,633,2.801849789299918,207,0.9464865098233719,575,0,5962.5
Neu-5 IFN,T cells 2,H2-K1,Cd8b1,3.978293350790121e-5,1534.1,0.06739266807305289,890,5.682905907787594,67,2.285790099491744,504,0.9551526383134639,247,0,5962.5
T cells,T cells 2,H2-K1,Cd3g,4.155328041147021e-5,1518.7,0.05652111807643685,1252,5.6384771666859805,76,2.729686567686165,235,0.9641645310814897,68,0,5962.5
T cells 2,T cells 2,Gzma,F2r,4.592082047260059e-5,2367.3,0.45176809727401696,7,4.6897382091802,243,2.817539069305214,198,0.8826997946803862,5426,0,5962.5
T cells,T cells 2,B2m,Cd3g,4.7058311096961975e-5,1584.5,0.05058596575590789,1524,5.624652301348675,78,2.703499189971674,245,0.9614394854824653,113,0,5962.5
Neu-2,Neu-4 classic,Cxcl2,Cxcr2,4.73688765825057e-5,1497.1,0.09932601341798898,430,2.160817172645878,930,3.0735245559203554,114,0.9657045530380188,49,0,5962.5
Neu-4 classic,Macs 1,Mmp9,Lrp1,4.757136550454082e-5,1733.9,0.08746414642880462,547,2.159587100071577,931,2.0221361433081517,773,0.9494855387011762,456,0,5962.5
T cells,T cells 2,H2-K1,Cd8b1,4.8182708017792493e-5,1585.1,0.06597690382641637,934,5.660323760115146,72,2.0822230823678103,693,0.9546956978888829,264,0,5962.5
T cells 2,T cells,Gzma,F2r,4.8214337686711516e-5,2376.3,0.4437214708962542,10,4.6590669687126844,247,2.8946360070479096,168,0.8817661751200007,5494,0,5962.5
Neu-5 IFN,T cells 2,H2-K1,Cd8a,4.9006925266081355e-5,1671.9,0.065787538174361,938,5.074543793561883,170,1.988433698732831,827,0.9493351132408473,462,0,5962.5
T cells 2,B cells,Ccl5,Ccr5,5.039424075647002e-5,1774.7,0.10882737658724008,360,6.360489995817341,25,3.974972286152051,20,0.9153688549710065,2506,0,5962.5
Prol.,Macs 2,Lpl,Lrp1,5.154276143043014e-5,1809.9,0.07061577941153917,828,2.1436480266501587,950,2.164393097092682,608,0.9434025515406628,701,0,5962.5
Macs 1,Macs 1,C1qb,Lrp1,5.154276143043014e-5,1683.7,0.06522483509830407,950,2.548078628847306,653,2.7349855684716884,233,0.9456515045851323,620,0,5962.5
Macs 2,T cells 2,B2m,Cd3g,5.6190451347760126e-5,1515.9,0.05748561521065927,1223,5.753936765735355,57,2.6684461542095885,260,0.9637409348300681,77,0,5962.5
Macs 2,B cells,Fn1,Cd79a,5.8147437507493454e-5,2126.3,0.1363742860762931,211,7.659110663227024,7,2.6633737272894904,263,0.8957007995744458,4188,0,5962.5
Dendritic,Macs 1,Apoe,Trem2,5.877038696388652e-5,1690.3,0.04539816241801898,1834,2.635859195786363,618,3.7616032266397768,27,0.9721722162749038,10,0,5962.5
Prol.,Macs 1,Lpl,Lrp1,6.119479234017537e-5,1843.9,0.06834183544462474,865,2.0999850035974794,992,2.0975288762644526,668,0.9425223475885283,732,0,5962.5
Macs 2,Macs 2,Psap,Sort1,6.994657387610322e-5,1795.7,0.06260554680652974,1026,2.080654867342692,1013,2.3173649254761406,481,0.9485283581676038,496,0,5962.5
Neu-2,Macs 2,S100a9,Cd36,7.103430373670683e-5,1627.5,0.07190010833033707,806,2.0662382611654846,1030,2.810720073143221,203,0.9598360315075075,136,0,5962.5
T cells,Neu-5 IFN,Ccl5,Ccrl2,7.296811561281965e-5,1747.3,0.06520713973302206,951,2.5272917188954573,662,3.0373419000655284,124,0.9371293601078258,1037,0,5962.5
Neu-4 classic,Macs 2,Hp,Itgb2,7.352777068551773e-5,1688.7,0.0621759300345907,1039,2.241802010596361,849,2.418200478468137,401,0.9569119011641716,192,0,5962.5
Macs 1,Macs 1,Apoe,Trem2,7.744879530649631e-5,1665.1,0.04726731600993581,1728,2.699865659688228,595,3.69504572018699,31,0.9727128160775816,9,0,5962.5
T cells,T cells 2,Lck,Cd8a_Cd8b1,7.782959179545294e-5,1712.7,0.23614299471826442,50,7.5145637674780525,8,2.5933381751205813,290,0.9186741612476166,2253,0,5962.5
Macs 2,Prol.,Lpl,Lrp1,7.9897419275686e-5,1844.9,0.061643286908880594,1061,2.0925512705965263,1000,2.5695736119052373,301,0.9396634955292205,900,0,5962.5
T cells 2,Tumor,Ccl5,Sdc1,8.696805965190769e-5,1666.1,0.11931340795307675,301,5.657686335372176,73,3.8048413012269973,24,0.9222545585324688,1970,0,5962.5
Macs 2,Neu-4 classic,Mrc1,Ptprc,8.762517113804433e-5,1924.1,0.07187433185708661,807,2.0813101722133247,1012,2.036346955983208,753,0.9362387362461465,1086,0,5962.5
Macs 3,Macs 2,Lpl,Lrp1,9.218869558165425e-5,1917.5,0.06145997917511974,1070,1.998166236587912,1100,2.230771092653268,548,0.939579016605137,907,0,5962.5
Neu-2,Macs 2,S100a8,Cd36,9.761846926351479e-5,1709.7,0.061871350505018165,1047,1.9835781761355662,1116,2.6315883402547158,271,0.9590526535142578,152,0,5962.5
Dendritic,Macs 3,Apoe,Trem2,9.869328707959501e-5,1984.1,0.03318991825402668,3018,2.2174112119459464,876,3.720490850132636,29,0.9676070512073957,35,0,5962.5
Macs 1,B cells,Fn1,Dpp4,9.95914696842378e-5,2031.3,0.23865042867920627,49,6.568860176275175,23,2.5606099160691342,315,0.8997416792583981,3807,0,5962.5
Neu-3,T cells 2,H2-K1,Cd3g,1.0437783944772878e-4,1760.3,0.04064696289735044,2222,5.342916858488792,126,2.5379825548646617,320,0.9580120905002498,171,0,5962.5
Dendritic,Macs 2,Apoe,Trem2,1.0440506940161144e-4,1809.3,0.039650212275660214,2325,2.4388433009552815,705,3.6557861506872005,36,0.9702813234761678,18,0,5962.5
Neu-2,Neu-2,Cxcl2,Cxcr2,1.0657503672859967e-4,1573.5,0.08518130701867462,578,1.9645819475246085,1141,3.151805851082469,100,0.9630675359006678,86,0,5962.5
Macs 3,Macs 1,Lpl,Lrp1,1.1032379752243631e-4,1964.3,0.05948086699910781,1140,1.954503213535233,1151,2.1639068718250387,609,0.9386432163903109,959,0,5962.5
T cells 2,Dendritic,Ccl5,Sdc4,1.1234881113330239e-4,1596.3,0.11269064606157285,328,5.777387838735404,50,3.995428192984683,17,0.9277164054140898,1624,0,5962.5
Macs 1,Macs 3,Apoe,Trem2,1.1630915364365683e-4,1936.5,0.03455642851822444,2849,2.2814176758478117,807,3.6539333436798493,38,0.9682334388584881,26,0,5962.5
Dendritic,Prol.,C1qb,Lrp1,1.1692103710587844e-4,1718.5,0.05883266298027117,1168,2.7160888852049387,589,2.923052653902049,158,0.9429392639613824,715,0,5962.5
Neu-4 classic,Neu-2,Hp,Itgam,1.1731804603325696e-4,1764.1,0.06250115345879917,1029,1.9368910659807992,1169,2.4559881047252814,369,0.9538302252519922,291,0,5962.5
Macs 3,T cells 2,B2m,Cd3g,1.2178638793688726e-4,1897.7,0.03511993313342776,2779,5.334852398194565,129,2.514922274931722,337,0.9540757668015195,281,0,5962.5
Macs 1,T cells 2,B2m,Cd3g,1.2504504409966124e-4,1572.3,0.05307246728542477,1391,5.671243946409551,70,2.5099528114169587,340,0.962319176135621,98,0,5962.5
T cells,T cells 2,H2-K1,Cd8a,1.2884775649364566e-4,1758.9,0.06440549399827152,974,5.051961645889435,176,1.784866681608897,1197,0.948822075194729,485,0,5962.5
Neu-3,T cells 2,B2m,Cd3g,1.306034990655213e-4,1912.9,0.034684293989948344,2834,5.326689465613719,131,2.5026999606469587,345,0.9538015420478232,292,0,5962.5
Neu-4 classic,Neu-4 classic,Vasp,Cxcr2,1.3142428059099154e-4,1780.5,0.05784202868565679,1203,2.0603184158909187,1039,2.2548149236556307,526,0.957962401134973,172,0,5962.5
Neu-5 IFN,T cells,B2m,Cd3g,1.3401577640371933e-4,1966.1,0.03407142894223481,2915,3.565023129806859,348,2.5746675967144146,298,0.9534071660636403,307,0,5962.5
Neu-4 classic,Macs 3,S100a9,Cd36,1.3403898319184245e-4,1730.3,0.05777456026833107,1209,1.9333794908379098,1178,3.3806742272281594,64,0.9554013348377346,238,0,5962.5
Macs 1,Macs 2,Apoe,Trem2,1.3536599705663311e-4,1772.9,0.04128270867524794,2177,2.502849764857147,669,3.5892286442344137,41,0.970857555785099,15,0,5962.5
Macs 1,Neu-2,Fn1,Cd44,1.3938439964464105e-4,1735.1,0.057573991559897446,1221,2.440107546065029,704,2.7991633137772616,208,0.9463428312261633,580,0,5962.5
Neu-4 classic,Macs 1,S100a9,Cd68,1.4203831425506567e-4,1640.1,0.05413448737987755,1342,2.2338341279298812,853,3.5726647994731575,42,0.9762654786370855,1,0,5962.5
T cells 2,T cells,H2-K1,Cd3g,1.4340246041775448e-4,1768.9,0.042834405094831184,2043,3.744630616821991,332,2.483228397198171,356,0.9590537719536526,151,0,5962.5
Macs 1,T cells 2,Fn1,Itga4_Itgb7,1.4825464189156966e-4,1741.3,0.1293944757033434,238,3.484826635983241,360,2.8431607529982212,186,0.922421956300308,1960,0,5962.5
T cells 2,Prol.,Ccl5,Ccr5,1.4887058485067367e-4,2462.3,0.056822111882934075,1244,5.920817626986166,43,3.7891712813319898,26,0.8865631506030045,5036,0,5962.5
Neu-4 classic,Neu-4 classic,Lcn2,Fcgr3,1.5054969922439687e-4,1597.1,0.05680218723331527,1245,2.6743182946164503,604,3.040509094578227,122,0.9652455614179725,52,0,5962.5
Macs 1,Macs 2,Psap,Sort1,1.519907576173215e-4,2013.9,0.056671593801019694,1248,1.950670534563396,1157,1.8296206785338596,1108,0.9460424738043068,594,0,5962.5
Neu-4 classic,Prol.,S100a9,Cd36,1.5441531292907618e-4,1768.7,0.056480831017658,1253,1.915617558968225,1203,2.8890923352798623,171,0.9549163438624254,254,0,5962.5
T cells 2,T cells 2,H2-K1,Cd3d,1.5490365854310754e-4,1627.9,0.05644085623725574,1254,3.639479722767051,341,2.3248741030456204,473,0.9616211502577771,109,0,5962.5
Macs 1,T cells 2,Cxcl16,Cxcr6,1.5686854835575778e-4,1616.3,0.16180299198426482,135,5.7239027092862775,60,2.0985329178097287,666,0.9335848992287796,1258,0,5962.5
Dendritic,T cells 2,H2-K1,Cd8b1,1.6135735208019447e-4,1775.5,0.05610100727868106,1267,5.50279827183656,87,1.7987089713503346,1169,0.9510568847383374,392,0,5962.5
Dendritic,Prol.,C1qa,Cd93,1.623677107518685e-4,1740.9,0.07210188420679595,798,2.809321605285116,555,3.051448484753392,120,0.933482091900497,1269,0,5962.5
Dendritic,T cells 2,H2-K1,Cd3g,1.6741628577448983e-4,1643.5,0.04806063141350061,1677,5.480951678407394,89,2.4461724566686893,375,0.961255383899153,114,0,5962.5
Neu-3,T cells 2,Cd274,Pdcd1,1.6874890691305068e-4,2005.5,0.1842704096994608,84,4.752585517457267,235,2.44445293672657,376,0.9044740087256454,3370,0,5962.5
Neu-4 classic,Macs 2,S100a9,Cd68,1.7032672931506856e-4,1681.7,0.05148113818467438,1475,2.1700707889439643,922,3.5064006133857504,46,0.9756762121812603,3,0,5962.5
Neu-4 classic,Neu-2,Lcn2,Fcgr3,1.7062107036431497e-4,1598.1,0.055562318358549745,1285,2.654307628424056,609,3.2527023426648363,77,0.9648734754748917,57,0,5962.5
Eryth.,T cells,Snca,Lag3,1.7278882893462076e-4,2602.3,0.16116812823132676,137,3.389337466564344,379,2.886962572022788,173,0.8731971295884553,6360,0,5962.5
Macs 3,Macs 1,Mfge8,Itgb5,1.7432842927350345e-4,1980.5,0.06536603670656423,945,2.001702771779077,1097,2.1661379081668644,606,0.9329832555550118,1292,0,5962.5
Dendritic,T cells 2,B2m,Klrd1,1.791827447343832e-4,1825.7,0.0717517194109541,808,5.062078270879247,172,1.7343273677090403,1301,0.9399251242171045,885,0,5962.5
T cells,T cells,Ccl5,Cxcr3,1.8529127123360678e-4,2142.3,0.13166906461049066,227,3.3512448112771507,388,2.9201175248954536,159,0.8981227699417247,3975,0,5962.5
Neu-5 IFN,T cells 2,Cd14,Itga4,1.8806016828589177e-4,2055.9,0.05476276232546389,1317,2.2514030190073764,836,1.8908667197964775,988,0.9349258549772629,1176,0,5962.5
Macs 2,Macs 1,Mfge8,Itgb5,1.9319529378058857e-4,1983.9,0.06429519129927455,976,1.984631790947088,1112,2.2403853042229147,543,0.9324650082623852,1326,0,5962.5
T cells 2,Lung Ep.,Ccl5,Sdc4,1.9394991084129072e-4,1642.5,0.10405144684687845,394,5.742127680808362,58,4.00883925592552,16,0.9249960308283227,1782,0,5962.5
Neu-1,T cells 2,H2-K1,Cd3g,1.9394991084129072e-4,1773.7,0.04070403035772926,2218,5.34397939542303,124,2.425379653848025,394,0.9580402990960766,170,0,5962.5
Macs 2,T cells 2,Mrc1,Ptprc,1.9551075539018893e-4,2073.5,0.06340243627993314,1012,1.9576273609251669,1149,1.9376995290261592,914,0.9323913181703359,1330,0,5962.5
Neu-4 classic,Macs 2,S100a9,Itgb2,2.0117191780863632e-4,1672.7,0.05211709869330514,1441,2.1931782946874634,899,3.4638766270497596,50,0.9717656234612461,11,0,5962.5
Macs 1,Neu-4 classic,Fn1,Cd44,2.0317881681083084e-4,1806.9,0.0541020331877609,1343,2.3847639930932605,733,2.487161037754727,351,0.9447415559136473,645,0,5962.5
Dendritic,Macs 1,C1qb,C1qbp,2.0437808217899924e-4,1844.7,0.057955688212754874,1195,2.8491742336504022,537,2.8442300154004405,184,0.9322759049265772,1345,0,5962.5
Macs 2,Dendritic,Copa,Cd74,2.0739928862698666e-4,1800.7,0.054004372008995605,1350,2.9370726349964693,506,3.3994709945168338,58,0.935633913866118,1127,0,5962.5
Dendritic,B cells,Fn1,Cd79a,2.0743293319516707e-4,2412.3,0.1027282607708524,403,7.486795361197613,9,2.841635170604382,187,0.8817059103319483,5500,0,5962.5
Neu-5 IFN,T cells 2,B2m,Cd3d,2.0896818875959264e-4,1763.7,0.044894299768356065,1875,3.4598722357519187,368,2.416313302561864,404,0.9563124655180226,209,0,5962.5
Neu-4 classic,Neu-2,Hp,Tlr4,2.0922788873354366e-4,1976.9,0.07750374407248606,706,1.810027713476614,1335,2.2526855426136816,528,0.9319618937283977,1353,0,5962.5
Macs 2,Neu-2,Lpl,Cd44,2.1045360200856153e-4,1738.7,0.05389179559678379,1355,2.072666170865384,1021,3.015312926908153,127,0.9557123928199971,228,0,5962.5
Macs 2,Lung Ep.,Lpl,Sdc1,2.135412583787196e-4,1723.9,0.1480438324255519,174,2.0777143506053597,1016,3.1047026620431293,107,0.931865116783688,1360,0,5962.5
T cells,Neu-2,Ccl5,Ccr1,2.1729079226538934e-4,1641.5,0.05358962681123412,1366,2.850682699344557,535,3.466450849695626,49,0.9537278587585636,295,0,5962.5
B cells,Macs 2,Fcer2a,Itgax_Itgb2,2.1755252710399297e-4,2119.1,0.23334289613588083,52,6.5832370314672195,22,1.972910751851348,856,0.9009611355025504,3703,0,5962.5
Neu-4 classic,Macs 1,S100a8,Cd68,2.1755252710399297e-4,1734.3,0.04721766112358301,1731,2.1661830829568807,924,3.4497886754811793,52,0.9759535893879,2,0,5962.5
Neu-4 classic,T cells 2,Cd14,Itga4,2.2172691174938015e-4,2074.9,0.053495490732807106,1373,2.233014368883112,855,1.906780837319666,959,0.9342099983863512,1225,0,5962.5
Neu-2,Macs 2,Mmp9,Lrp1,2.255826257041513e-4,2083.5,0.059356105553893916,1147,1.7777044664611807,1379,1.8780907920648946,1006,0.939336048912904,923,0,5962.5
Neu-5 IFN,T cells,H2-K1,Cd3g,2.2635441362869597e-4,1989.9,0.03398715292829577,2929,3.4648094436490693,366,2.401777852127101,415,0.954261961820609,277,0,5962.5
B cells,T cells 2,B2m,Cd3g,2.3622832865577003e-4,1801.7,0.03972292247709186,2319,5.421102433906655,105,2.3952764092610246,421,0.9566996976335677,201,0,5962.5
Macs 1,Macs 2,C1qa,Cd93,2.428699277196996e-4,1851.7,0.06676010765563682,908,2.402252828601113,722,2.668353590831344,261,0.9310520518418511,1405,0,5962.5
Neu-4 classic,Neu-2,S100a9,Tlr4,2.428699277196996e-4,1729.7,0.06496517666369009,959,1.761403997567717,1405,3.298361691195305,70,0.9550122474686796,252,0,5962.5
Macs 1,Macs 2,Apoe,Lrp1,2.4838196701514737e-4,1636.7,0.052622739575925906,1413,2.5026297743069086,670,3.2208906090897167,85,0.9652380863429482,53,0,5962.5
Neu-1,Macs 2,Mmp9,Lrp1,2.490774559969339e-4,1984.3,0.057875395379948846,1201,1.7573902991071155,1414,2.4377235058504163,384,0.9386122607249384,960,0,5962.5
Eryth.,Dendritic,Snca,Lag3,2.4983054835589903e-4,2939.3,0.12519936389025166,262,3.157946301832255,429,2.73539167945615,232,0.8585449816910411,7811,0,5962.5
Neu-4 classic,Macs 2,Lcn2,Fcgr3,2.532808549057317e-4,1655.1,0.05246601374019251,1420,2.604335313279334,628,2.8377034159470966,192,0.9638887220390576,73,0,5962.5
T cells 2,Tumor,Gzma,Pard3,2.550617782833674e-4,3739.5,0.31481369479331195,27,3.148770026545156,432,2.5239179238913008,326,0.8127463471638776,11950,0,5962.5
Neu-3,T cells 2,Pdcd1lg2,Pdcd1,2.568214674020497e-4,2190.9,0.3555303669858678,17,4.865473072533508,206,2.379106279639371,433,0.8940865938283846,4336,0,5962.5
Neu-4 classic,Macs 1,Lcn2,Fcgr3,2.669402228754126e-4,1660.5,0.0521317358353276,1439,2.5989402882844446,631,2.834051003544417,194,0.96377731810586,76,0,5962.5
T cells 2,T cells 2,B2m,Klrd1,2.6840924946863905e-4,1828.3,0.07484013954024278,757,5.10866124586697,162,1.6705083128526548,1441,0.9411039611645396,819,0,5962.5
Neu-2,Macs 1,Mmp9,Lrp1,2.735982255155585e-4,2150.9,0.05744474156062533,1226,1.7340414434085016,1448,1.811226571236665,1146,0.9383967323400243,972,0,5962.5
Macs 2,T cells 2,H2-K1,Cd8b1,2.7509439409722526e-4,1784.1,0.06054873249584538,1099,5.573741713090353,82,1.6656139868691153,1450,0.952802312634988,327,0,5962.5
Neu-5 IFN,T cells 2,Cd274,Pdcd1,2.7856689452425225e-4,1945.9,0.20227136549786118,68,4.811107552359248,218,2.35359451853215,445,0.9084253429672677,3036,0,5962.5
Macs 2,T cells 2,H2-K1,Cd3g,2.796194177992167e-4,1616.5,0.05187091027763604,1456,5.551895119661188,84,2.31307747218747,485,0.9626513918971186,95,0,5962.5
